체결시간,선물_시가,현물_시가,basis
20230731,349.05,346.11,2.9399999999999977
20230801,354.5,350.97,3.5299999999999727
20230802,347.0,343.8,3.1999999999999886
20230803,344.25,341.91,2.339999999999975
20230804,344.05,341.73,2.319999999999993
20230807,343.55,341.2,2.3500000000000227
20230808,340.85,338.08,2.7700000000000387
20230809,344.25,341.82,2.430000000000007
20230810,342.8,340.1,2.6999999999999886
20230811,342.0,339.1,2.8999999999999773
20230814,338.8,336.37,2.430000000000007
20230816,333.5,331.39,2.1100000000000136
20230817,332.25,330.36,1.8899999999999864
20230818,330.75,328.94,1.8100000000000023
20230821,330.65,328.64,2.009999999999991
20230822,331.9,329.97,1.92999999999995
20230823,331.05,329.35,1.6999999999999886
20230824,335.4,333.94,1.4599999999999795
20230825,331.7,330.17,1.5299999999999727
20230828,334.05,332.06,1.990000000000009
20230829,335.55,333.97,1.579999999999984
20230830,336.65,335.41,1.2399999999999523
20230831,336.75,334.49,2.259999999999991
20230901,339.9,338.54,1.3599999999999568
20230904,342.15,340.25,1.8999999999999773
20230905,341.8,340.28,1.5200000000000387
20230906,339.55,337.8,1.75
20230907,337.9,336.15,1.75
20230908,338.25,336.24,2.009999999999991
20230911,339.25,337.46,1.7900000000000205
20230912,337.3,335.84,1.4600000000000364
20230913,337.55,335.92,1.6299999999999955
20230914,342.4,340.13,2.269999999999982
20230915,346.9,344.98,1.919999999999959
20230918,342.95,340.93,2.019999999999982
20230919,340.15,338.76,1.3899999999999864
20230920,340.3,338.85,1.4499999999999886
20230921,334.25,333.41,0.839999999999975
20230922,332.95,332.01,0.9399999999999977
20230925,333.05,331.51,1.5400000000000205
20230926,328.7,326.87,1.829999999999984
20230927,328.55,327.43,1.1200000000000045
20231004,320.2,319.18,1.0199999999999818
20231005,320.05,318.79,1.259999999999991
20231006,320.5,319.15,1.3500000000000227
20231010,321.2,319.36,1.839999999999975
20231011,326.4,324.79,1.6099999999999568
20231012,330.35,328.48,1.8700000000000045
20231013,327.35,325.93,1.420000000000016
20231016,324.95,323.54,1.4099999999999682
20231017,328.95,327.63,1.3199999999999932
20231018,330.25,328.79,1.4599999999999795
20231019,324.05,322.87,1.1800000000000068
20231020,318.85,317.9,0.9500000000000455
20231023,317.0,315.44,1.5600000000000023
