,date,NAS_close_change,NAS_day_change,NAS_day_fluc_range
0,2023-07-31,1.9,0.822756329,156.25
1,2023-08-01,0.21,0.0566331192,78.16
2,2023-08-02,-0.43,0.0629074889,93.57
3,2023-08-03,-2.17,-1.127029243,219.04
4,2023-08-04,-0.1,0.431302411,150.93
5,2023-08-07,-0.36,-0.832171203,221.29
6,2023-08-08,0.61,0.157094855,132.23
7,2023-08-09,-0.79,0.0639258547,130.4
8,2023-08-10,-1.17,-1.263454652,200.15
9,2023-08-11,0.12,-0.580826081,260.65
10,2023-08-14,-0.68,0.0821496811,110.35
11,2023-08-16,-0.09,0.451642534,184.86
12,2023-08-17,-1.15,-0.872055599,171.29
13,2023-08-18,-1.17,-1.555151435,231.64
14,2023-08-21,-0.2,0.763910896,174.11
15,2023-08-22,1.56,1.126298581,191.27
16,2023-08-23,0.06,-0.647935295,114.38
17,2023-08-24,1.59,1.393689086,224.57
18,2023-08-25,-1.87,-2.676967626,371.84
19,2023-08-28,0.94,0.564436226,257.08
20,2023-08-29,0.84,0.0713380298,109.34
21,2023-08-30,1.74,1.874228752,282.75
22,2023-08-31,0.54,0.412125397,126.62
23,2023-09-01,0.11,-0.0467897396,104.19
24,2023-09-04,0.11,-0.0467897396,104.19
25,2023-09-05,-0.02,-0.694552568,167.2
26,2023-09-06,-0.08,0.188716457,115.2
27,2023-09-07,-1.06,-0.831664738,199.53
28,2023-09-08,-0.89,0.539081587,132.16
29,2023-09-11,0.09,0.0495830156,110.19
30,2023-09-12,1.14,0.243877318,132.33
31,2023-09-13,-1.04,-0.615631499,149.91
32,2023-09-14,0.29,0.289755744,134.75
33,2023-09-15,0.81,0.261271613,146.91
34,2023-09-18,-1.56,-1.30223483,211.51
35,2023-09-19,0.01,0.294660701,87.82
36,2023-09-20,-0.23,0.210631352,126.28
37,2023-09-21,-1.53,-1.758755851,260.53
38,2023-09-22,-1.82,-0.78083382,139.67
39,2023-09-25,-0.09,-0.567163662,152.58
40,2023-09-26,0.45,0.749893339,145.83
41,2023-09-27,-1.57,-0.890299341,165.73
42,2023-10-04,0.89,-1.458207669,232.325
43,2023-10-05,1.35,1.092880732,186.25
44,2023-10-06,-0.12,-0.0626695252,163.61
45,2023-10-10,1.99,3.498910296,302.53
46,2023-10-11,0.58,0.422262715,167.82
47,2023-10-12,0.71,0.2971538,121.82
48,2023-10-13,-0.63,-0.718597298,222.58
49,2023-10-16,-1.23,-1.515838218,257.69
50,2023-10-17,1.2,0.848607198,150.88
51,2023-10-18,-0.25,0.848592423,237.51
52,2023-10-19,-1.62,-0.932909117,224.44
53,2023-10-20,-0.96,-1.262692066,247.4
