,date,sp_close_change,sp_day_change,sp_day_fluc_range
1,2023-07-31,0.0099,0.360948366,26.15
2,2023-08-01,0.0015,0.0902979833,21.08
3,2023-08-02,-0.0027,-0.0458632445,17.09
4,2023-08-03,-0.0138,-0.824886342,45.18
5,2023-08-04,-0.0025,0.169549226,33.95
6,2023-08-07,-0.0053,-0.795975153,65.79
7,2023-08-08,0.009,0.598007828,28.69
8,2023-08-09,-0.0042,0.0300131391,38.92
9,2023-08-10,-0.007,-0.752182016,41.11
10,2023-08-11,0.0003,-0.408498917,69.45
11,2023-08-14,-0.0011,0.300178175,32.25
13,2023-08-16,-0.0058,-0.207039673,41.785
14,2023-08-17,-0.0076,-0.664442836,46.4
15,2023-08-18,-0.0077,-1.040685458,56.34
16,2023-08-21,-0.0001,0.571477233,46.51
17,2023-08-22,0.0069,0.444948725,47.25
18,2023-08-23,-0.0028,-0.629171546,35.82
19,2023-08-24,0.011,0.900046401,46.74
20,2023-08-25,-0.0135,-1.769857873,82.75
21,2023-08-28,0.0067,0.372034319,62.17
22,2023-08-29,0.0063,0.164481488,24.58
23,2023-08-30,0.0145,1.463651232,68.46
24,2023-08-31,0.0038,0.322864495,28.06
25,2023-09-01,-0.0016,-0.206995335,24.87
26,2023-09-05,0.0018,-0.327329714,39.9
27,2023-09-06,-0.0042,-0.293344213,18.28
28,2023-09-07,-0.007,-0.553854377,47.97
29,2023-09-08,-0.0032,0.374107858,27.35
30,2023-09-11,0.0014,0.139060499,25.15
31,2023-09-12,0.0067,0.144611223,22.88
32,2023-09-13,-0.0057,-0.254176475,30.28
33,2023-09-14,0.0012,0.107335328,25.87
34,2023-09-15,0.0084,0.385936922,33.3
35,2023-09-18,-0.0122,-1.059586748,50.77
36,2023-09-19,0.0007,0.188970851,24.25
37,2023-09-20,-0.0022,-0.0328428649,33.24
38,2023-09-21,-0.0094,-1.136585662,59.65
39,2023-09-22,-0.0164,-1.014091204,46.53
40,2023-09-25,-0.0023,-0.499338975,40.91
41,2023-09-26,0.004,0.62218428,35.81
42,2023-09-27,-0.0147,-0.912383373,47.03
47,2023-10-04,-0.0135,-1.133452289,59.07
48,2023-10-05,0.0081,0.706688743,48.02
49,2023-10-06,-0.0013,-0.0262953389,41.22
51,2023-10-10,0.0181,2.828010075,81.245
52,2023-10-11,0.0052,0.426061409,45.82
53,2023-10-12,0.0043,0.237256074,33.3
54,2023-10-13,-0.0062,-0.715143325,60.42
55,2023-10-16,-0.005,-0.750145053,65.13
56,2023-10-17,0.0106,0.719883382,40.96
57,2023-10-18,-0.0001,0.64369435,56.03
58,2023-10-19,-0.0134,-0.981100898,60.36
59,2023-10-20,-0.0085,-1.003387822,69.85
