일자,기준행사가,S-4,S-3,S-2,S-1,S+1,S+2,S+3,S+4
20231020,322.5,312.5,315.0,317.5,320.0,325.0,327.5,330.0,332.5
20231019,327.5,317.5,320.0,322.5,325.0,330.0,332.5,335.0,337.5
20231018,325.0,315.0,317.5,320.0,322.5,327.5,330.0,332.5,335.0
20231017,322.5,312.5,315.0,317.5,320.0,325.0,327.5,330.0,332.5
20231016,325.0,315.0,317.5,320.0,322.5,327.5,330.0,332.5,335.0
20231013,327.5,317.5,320.0,322.5,325.0,330.0,332.5,335.0,337.5
20231012,322.5,312.5,315.0,317.5,320.0,325.0,327.5,330.0,332.5
20231011,317.5,307.5,310.0,312.5,315.0,320.0,322.5,325.0,327.5
20231010,317.5,307.5,310.0,312.5,315.0,320.0,322.5,325.0,327.5
20231006,317.5,307.5,310.0,312.5,315.0,320.0,322.5,325.0,327.5
20231005,317.5,307.5,310.0,312.5,315.0,320.0,322.5,325.0,327.5
20231004,325.0,315.0,317.5,320.0,322.5,327.5,330.0,332.5,335.0
20230927,325.0,315.0,317.5,320.0,322.5,327.5,330.0,332.5,335.0
20230926,330.0,320.0,322.5,325.0,327.5,332.5,335.0,337.5,340.0
20230925,330.0,320.0,322.5,325.0,327.5,332.5,335.0,337.5,340.0
20230922,332.5,322.5,325.0,327.5,330.0,335.0,337.5,340.0,342.5
20230921,337.5,327.5,330.0,332.5,335.0,340.0,342.5,345.0,347.5
20230920,337.5,327.5,330.0,332.5,335.0,340.0,342.5,345.0,347.5
20230919,340.0,330.0,332.5,335.0,337.5,342.5,345.0,347.5,350.0
20230918,342.5,332.5,335.0,337.5,340.0,345.0,347.5,350.0,352.5
20230915,340.0,330.0,332.5,335.0,337.5,342.5,345.0,347.5,350.0
20230914,335.0,325.0,327.5,330.0,332.5,337.5,340.0,342.5,345.0
20230913,335.0,325.0,327.5,330.0,332.5,337.5,340.0,342.5,345.0
20230912,337.5,327.5,330.0,332.5,335.0,340.0,342.5,345.0,347.5
20230911,335.0,325.0,327.5,330.0,332.5,337.5,340.0,342.5,345.0
20230908,335.0,325.0,327.5,330.0,332.5,337.5,340.0,342.5,345.0
20230907,337.5,327.5,330.0,332.5,335.0,340.0,342.5,345.0,347.5
20230906,340.0,330.0,332.5,335.0,337.5,342.5,345.0,347.5,350.0
20230905,340.0,330.0,332.5,335.0,337.5,342.5,345.0,347.5,350.0
20230904,337.5,327.5,330.0,332.5,335.0,340.0,342.5,345.0,347.5
20230901,332.5,322.5,325.0,327.5,330.0,335.0,337.5,340.0,342.5
20230831,332.5,322.5,325.0,327.5,330.0,335.0,337.5,340.0,342.5
20230830,332.5,322.5,325.0,327.5,330.0,335.0,337.5,340.0,342.5
20230829,332.5,322.5,325.0,327.5,330.0,335.0,337.5,340.0,342.5
20230828,330.0,320.0,322.5,325.0,327.5,332.5,335.0,337.5,340.0
20230825,332.5,322.5,325.0,327.5,330.0,335.0,337.5,340.0,342.5
20230824,327.5,317.5,320.0,322.5,325.0,330.0,332.5,335.0,337.5
20230823,327.5,317.5,320.0,322.5,325.0,330.0,332.5,335.0,337.5
20230822,327.5,317.5,320.0,322.5,325.0,330.0,332.5,335.0,337.5
20230821,327.5,317.5,320.0,322.5,325.0,330.0,332.5,335.0,337.5
20230818,330.0,320.0,322.5,325.0,327.5,332.5,335.0,337.5,340.0
20230817,330.0,320.0,322.5,325.0,327.5,332.5,335.0,337.5,340.0
20230816,335.0,325.0,327.5,330.0,332.5,337.5,340.0,342.5,345.0
20230814,337.5,327.5,330.0,332.5,335.0,340.0,342.5,345.0,347.5
20230811,340.0,330.0,332.5,335.0,337.5,342.5,345.0,347.5,350.0
20230810,340.0,330.0,332.5,335.0,337.5,342.5,345.0,347.5,350.0
20230809,337.5,327.5,330.0,332.5,335.0,340.0,342.5,345.0,347.5
20230808,337.5,327.5,330.0,332.5,335.0,340.0,342.5,345.0,347.5
20230807,340.0,330.0,332.5,335.0,337.5,342.5,345.0,347.5,350.0
20230804,340.0,330.0,332.5,335.0,337.5,342.5,345.0,347.5,350.0
20230803,342.5,332.5,335.0,337.5,340.0,345.0,347.5,350.0,352.5
20230802,350.0,340.0,342.5,345.0,347.5,352.5,355.0,357.5,360.0
20230801,345.0,335.0,337.5,340.0,342.5,347.5,350.0,352.5,355.0
20230731,342.5,332.5,335.0,337.5,340.0,345.0,347.5,350.0,352.5
