date,close,open,high,low,close_change
2023-10-20,"1,349.08","1,357.11","1,359.78","1,349.18",-0.51%
2023-10-19,"1,356.02","1,355.48","1,360.86","1,352.65",0.16%
2023-10-18,"1,353.86","1,353.55","1,358.31","1,347.54",0.07%
2023-10-17,"1,352.98","1,348.25","1,357.92","1,347.13",0.38%
2023-10-16,"1,347.91","1,353.08","1,356.62","1,347.69",-0.32%
2023-10-13,"1,352.21","1,349.40","1,353.95","1,347.19",0.24%
2023-10-12,"1,348.96","1,339.54","1,351.63","1,335.28",0.79%
2023-10-11,"1,338.42","1,342.62","1,343.91","1,337.07",-0.22%
2023-10-10,"1,341.33","1,347.67","1,352.16","1,341.92",-0.38%
2023-10-09,"1,346.51","1,344.51","1,354.99","1,344.17",0.14%
2023-10-06,"1,344.61","1,346.34","1,357.10","1,342.78",-0.08%
2023-10-05,"1,345.72","1,352.55","1,354.43","1,344.94",-0.44%
2023-10-04,"1,351.62","1,362.05","1,364.12","1,350.01",-0.70%
2023-10-03,"1,361.08","1,357.14","1,363.75","1,354.97",0.39%
2023-10-02,"1,355.84","1,352.65","1,359.72","1,349.20",0.26%
2023-09-29,"1,352.31","1,350.56","1,353.68","1,341.73",0.20%
2023-09-28,"1,349.56","1,355.47","1,357.75","1,347.39",-0.37%
2023-09-27,"1,354.54","1,354.10","1,360.16","1,347.32",0.12%
2023-09-26,"1,352.93","1,339.69","1,354.97","1,337.31",1.12%
2023-09-25,"1,338.01","1,335.56","1,341.47","1,330.14",0.30%
2023-09-22,"1,334.03","1,339.57","1,341.81","1,330.74",-0.37%
2023-09-21,"1,339.00","1,333.44","1,344.65","1,331.67",0.46%
2023-09-20,"1,332.92","1,328.99","1,335.94","1,323.63",0.32%
2023-09-19,"1,328.62","1,324.05","1,329.47","1,319.43",0.38%
2023-09-18,"1,323.57","1,329.42","1,330.06","1,322.69",-0.37%
2023-09-15,"1,328.46","1,330.02","1,330.83","1,324.49",-0.08%
2023-09-14,"1,329.52","1,328.20","1,331.11","1,323.11",0.22%
2023-09-13,"1,326.59","1,326.72","1,332.05","1,323.66",0.03%
2023-09-12,"1,326.15","1,326.05","1,329.44","1,323.05",0.05%
2023-09-11,"1,325.49","1,336.34","1,336.44","1,325.18",-0.71%
2023-09-08,"1,334.96","1,334.78","1,337.75","1,331.49",0.11%
2023-09-07,"1,333.45","1,334.53","1,339.07","1,330.48",-0.01%
2023-09-06,"1,333.58","1,329.95","1,337.99","1,328.42",0.34%
2023-09-05,"1,329.05","1,318.41","1,335.68","1,316.81",0.90%
2023-09-04,"1,317.21","1,318.45","1,322.00","1,315.59",-0.03%
2023-09-01,"1,317.55","1,325.46","1,326.37","1,311.88",-0.57%
2023-08-31,"1,325.14","1,323.79","1,326.86","1,320.00",0.12%
2023-08-30,"1,323.49","1,318.60","1,326.22","1,318.53",0.41%
2023-08-29,"1,318.06","1,324.21","1,329.14","1,318.13",-0.43%
2023-08-28,"1,323.81","1,324.57","1,327.77","1,319.10",0.02%
2023-08-25,"1,323.53","1,328.34","1,330.61","1,319.82",-0.29%
2023-08-24,"1,327.35","1,327.92","1,330.24","1,317.88",0.07%
2023-08-23,"1,326.42","1,340.81","1,342.31","1,326.69",-1.00%
2023-08-22,"1,339.81","1,340.04","1,342.58","1,334.09",0.05%
2023-08-21,"1,339.15","1,340.17","1,344.83","1,338.05",0.00%
2023-08-18,"1,339.17","1,339.76","1,344.81","1,332.44",-0.01%
2023-08-17,"1,339.27","1,341.94","1,344.35","1,334.99",-0.15%
2023-08-16,"1,341.22","1,336.87","1,345.77","1,334.01",0.36%
2023-08-15,"1,336.42","1,337.94","1,340.47","1,332.55",-0.03%
2023-08-14,"1,336.80","1,330.60","1,339.72","1,327.69",0.49%
2023-08-11,"1,330.30","1,318.14","1,333.92","1,316.17",1.02%
2023-08-10,"1,316.90","1,313.10","1,319.91","1,308.18",0.29%
2023-08-09,"1,313.08","1,317.02","1,322.29","1,309.70",-0.28%
2023-08-08,"1,316.72","1,307.93","1,322.69","1,305.20",0.72%
2023-08-07,"1,307.30","1,304.29","1,309.06","1,298.80",0.25%
2023-08-04,"1,304.08","1,299.93","1,312.38","1,296.82",0.39%
2023-08-03,"1,299.01","1,299.47","1,304.23","1,294.55",0.01%
2023-08-02,"1,298.93","1,289.40","1,303.09","1,286.94",0.77%
2023-08-01,"1,289.00","1,278.28","1,291.10","1,274.88",0.87%
2023-07-31,"1,277.86","1,273.33","1,279.42","1,269.82",0.40%
2023-07-28,"1,272.83","1,284.17","1,284.89","1,273.28",-0.85%
