,date,usd_yesterday_change,usd_night_change
0,2023-07-31,-0.883,0.039
1,2023-08-01,0.356,0.033
2,2023-08-02,0.839,0.031
3,2023-08-03,0.739,0.042
4,2023-08-04,-0.035,0.071
5,2023-08-07,0.319,0.016
6,2023-08-08,0.231,0.048
7,2023-08-09,0.672,0.023
8,2023-08-10,-0.299,0.002
9,2023-08-11,0.289,0.094
10,2023-08-14,0.923,0.023
11,2023-08-16,-0.114,0.034
12,2023-08-17,0.325,0.054
13,2023-08-18,-0.199,0.037
14,2023-08-21,-0.044,0.075
15,2023-08-22,-0.076,0.066
16,2023-08-23,-0.017,0.075
17,2023-08-24,-1.073,0.113
18,2023-08-25,-0.043,0.075
19,2023-08-28,-0.362,0.079
20,2023-08-29,-0.057,0.03
21,2023-08-30,-0.464,0.041
22,2023-08-31,0.371,0.023
23,2023-09-01,0.102,0.024
24,2023-09-04,-0.597,0.068
25,2023-09-05,-0.094,0.091
26,2023-09-06,0.807,0.068
27,2023-09-07,0.273,0.071
28,2023-09-08,-0.081,0.1
29,2023-09-11,0.013,0.103
30,2023-09-12,-0.812,0.042
31,2023-09-13,0.008,0.043
32,2023-09-14,-0.01,0.121
33,2023-09-15,0.099,0.038
34,2023-09-18,-0.117,0.072
35,2023-09-19,-0.44,0.036
36,2023-09-20,0.345,0.028
37,2023-09-21,0.296,0.039
38,2023-09-22,0.417,0.043
39,2023-09-25,-0.414,0.115
40,2023-09-26,0.183,0.126
41,2023-09-27,0.988,0.086
42,2023-10-04,0.29,0.071
43,2023-10-05,-0.766,0.069
44,2023-10-06,-0.505,0.046
45,2023-10-10,0.149,0.086
46,2023-10-11,-0.47,0.096
47,2023-10-12,-0.313,0.084
48,2023-10-13,0.703,0.033
49,2023-10-16,0.208,0.064
50,2023-10-17,-0.382,0.025
51,2023-10-18,0.351,0.042
52,2023-10-19,0.023,0.12
53,2023-10-20,0.04,0.08
