,date,jpy_yesterday_change,jpy_night_change
0,2023-07-31,0.102,0.42
1,2023-08-01,0.743,-0.874
2,2023-08-02,0.494,-1.27
3,2023-08-03,0.86,-1.427
4,2023-08-04,-0.304,-0.573
5,2023-08-07,0.024,0.203
6,2023-08-08,-0.542,0.477
7,2023-08-09,-0.462,0.972
8,2023-08-10,0.805,-0.39
9,2023-08-11,0.136,-0.961
10,2023-08-14,-0.196,0.136
11,2023-08-16,0.109,0.007
12,2023-08-17,0.266,-0.403
13,2023-08-18,-0.667,0.278
14,2023-08-21,0.133,0.415
15,2023-08-22,-0.369,0.156
16,2023-08-23,-0.732,0.986
17,2023-08-24,-0.777,1.437
18,2023-08-25,-0.139,0.837
19,2023-08-28,-0.014,0.124
20,2023-08-29,0.107,-0.137
21,2023-08-30,0.579,-0.715
22,2023-08-31,-1.082,0.477
23,2023-09-01,-0.266,1.252
24,2023-09-04,-0.062,0.241
25,2023-09-05,0.317,-0.318
26,2023-09-06,0.163,-0.556
27,2023-09-07,-0.341,0.076
28,2023-09-08,-0.537,0.226
29,2023-09-11,-0.357,0.825
30,2023-09-12,-0.294,0.584
31,2023-09-13,0.104,0.081
32,2023-09-14,-0.37,0.233
33,2023-09-15,-0.356,0.579
34,2023-09-18,0.166,0.145
35,2023-09-19,-0.026,-0.171
36,2023-09-20,0.921,-0.918
37,2023-09-21,-0.948,-0.018
38,2023-09-22,-0.162,0.995
39,2023-09-25,0.876,-0.797
40,2023-09-26,-0.349,-0.633
41,2023-09-27,-0.833,0.225
42,2023-10-04,-0.083,0.866
43,2023-10-05,-0.691,0.725
44,2023-10-06,-0.62,0.522
45,2023-10-10,-0.624,1.149
46,2023-10-11,0.259,0.262
47,2023-10-12,0.365,-0.657
48,2023-10-13,-0.411,-0.077
49,2023-10-16,0.134,0.24
50,2023-10-17,-0.06,-0.125
51,2023-10-18,0.146,-0.2
52,2023-10-19,-0.649,0.421
53,2023-10-20,-0.567,1.081
