,date,kospi_p_change(%),kospi_p_range
0,2023-07-31,-0.027,14.0
1,2023-08-01,0.331,22.87
2,2023-08-02,-0.035,14.04
3,2023-08-03,0.199,22.67
4,2023-08-04,0.065,12.62
5,2023-08-07,0.197,14.16
6,2023-08-08,0.16,16.09
7,2023-08-09,0.068,23.9
8,2023-08-10,0.12,7.65
9,2023-08-11,-0.333,17.65
10,2023-08-14,-0.604,16.6
11,2023-08-16,-0.359,18.01
12,2023-08-17,0.349,30.86
13,2023-08-18,0.184,22.07
14,2023-08-21,0.12,12.71
15,2023-08-22,0.356,16.76
16,2023-08-23,-0.211,12.5
17,2023-08-24,-0.014,10.46
18,2023-08-25,0.163,18.81
19,2023-08-28,0.22,13.06
20,2023-08-29,-0.138,11.71
21,2023-08-30,-0.007,8.97
22,2023-08-31,-0.194,11.25
23,2023-09-01,-0.069,17.36
24,2023-09-04,-0.211,10.66
25,2023-09-05,-0.181,10.69
26,2023-09-06,-0.088,8.73
27,2023-09-07,-0.214,15.22
28,2023-09-08,0.007,14.18
29,2023-09-11,-0.186,14.16
30,2023-09-12,-0.286,20.88
31,2023-09-13,0.15,14.07
32,2023-09-14,0.025,7.86
33,2023-09-15,0.378,20.34
34,2023-09-18,-0.022,11.88
35,2023-09-19,-0.361,12.69
36,2023-09-20,-0.0,11.32
37,2023-09-21,-0.467,18.17
38,2023-09-22,0.283,11.07
39,2023-09-25,-0.151,11.6
40,2023-09-26,-0.174,28.84
41,2023-09-27,0.039,16.66
42,2023-10-04,-0.287,25.91
43,2023-10-05,0.239,20.71
44,2023-10-06,-0.049,14.04
45,2023-10-10,-0.289,15.89
46,2023-10-11,-0.028,16.21
47,2023-10-12,0.14,10.62
48,2023-10-13,0.053,12.23
49,2023-10-16,-0.206,15.99
50,2023-10-17,-0.109,8.38
51,2023-10-18,-0.072,11.33
52,2023-10-19,0.339,12.66
53,2023-10-20,-0.45,29.01
